"Model.ID","Model","Parameter","Estimate","Standard.Error","z.value","P.value"
"sd_ar2","SARIMA(2,0,0) x (0,1,1)[12] + trend","ar1",1.7103481338889,0.0509683990354843,33.5570307534705,7.10954069861769e-247
"sd_ar2","SARIMA(2,0,0) x (0,1,1)[12] + trend","ar2",-0.735840925107682,0.0512381298008519,-14.3611979587797,9.06466072908142e-47
"sd_ar2","SARIMA(2,0,0) x (0,1,1)[12] + trend","sma1",-0.850972698757866,0.0692282110605659,-12.2922820873325,9.965247701956e-35
"sd_ar2","SARIMA(2,0,0) x (0,1,1)[12] + trend","xreg",0.287155532524739,0.0341212822604551,8.41573098961576,3.90452399156458e-17
"sd_ar3","SARIMA(3,0,0) x (0,1,1)[12] + trend","ar1",1.84009834695405,0.0762883180631908,24.1203161069807,1.5303707291709e-128
"sd_ar3","SARIMA(3,0,0) x (0,1,1)[12] + trend","ar2",-1.03710655614466,0.142233623077178,-7.29157096407443,3.06361447389361e-13
"sd_ar3","SARIMA(3,0,0) x (0,1,1)[12] + trend","ar3",0.176688363711915,0.0781355351199136,2.26130611943405,0.0237403075648008
"sd_ar3","SARIMA(3,0,0) x (0,1,1)[12] + trend","sma1",-0.880589865206166,0.0801782787953982,-10.9828980920542,4.61864612699361e-28
"sd_ar3","SARIMA(3,0,0) x (0,1,1)[12] + trend","xreg",0.283306982450112,0.0370964228330928,7.63704316518037,2.222670003099e-14
"sd_arma21","SARIMA(2,0,1) x (0,1,1)[12] + trend","ar1",1.61622043922891,0.0759311077291525,21.2853530992066,1.55173761572832e-100
"sd_arma21","SARIMA(2,0,1) x (0,1,1)[12] + trend","ar2",-0.642671272099345,0.0760806149826683,-8.44724076225922,2.9826821356116e-17
"sd_arma21","SARIMA(2,0,1) x (0,1,1)[12] + trend","ma1",0.21442995766149,0.0937519399891258,2.28720555208096,0.0221838281107989
"sd_arma21","SARIMA(2,0,1) x (0,1,1)[12] + trend","sma1",-0.879241161846525,0.0797445252866231,-11.0257244454876,2.87196677180656e-28
"sd_arma21","SARIMA(2,0,1) x (0,1,1)[12] + trend","xreg",0.285296558601782,0.0353254090511607,8.07624217991633,6.67931647029786e-16
"od_ar1","SARIMA(1,1,0) x (1,0,0)[12]","ar1",0.737389262339491,0.0498052265789893,14.8054594465105,1.35061005682523e-49
"od_ar1","SARIMA(1,1,0) x (1,0,0)[12]","sar1",0.370208319027568,0.068539978118887,5.40134866085626,6.61417267561896e-08
"od_ar2","SARIMA(2,1,0) x (1,0,0)[12]","ar1",0.918595236962569,0.0735627274432472,12.4872373400137,8.76444600135546e-36
"od_ar2","SARIMA(2,1,0) x (1,0,0)[12]","ar2",-0.241338046976818,0.0737479834615118,-3.27246977678745,0.0010661227024681
"od_ar2","SARIMA(2,1,0) x (1,0,0)[12]","sar1",0.337091300022191,0.0704926475974681,4.78193558492898,1.73615317583623e-06
"od_ar3","SARIMA(3,1,0) x (1,0,0)[12]","ar1",0.894854818954374,0.0749401911099343,11.9409198949287,7.24178106907298e-33
"od_ar3","SARIMA(3,1,0) x (1,0,0)[12]","ar2",-0.146261757233341,0.100065256057876,-1.46166374819194,0.143833376005776
"od_ar3","SARIMA(3,1,0) x (1,0,0)[12]","ar3",-0.104273070802674,0.0747354461822946,-1.39522911990558,0.162946758419611
"od_ar3","SARIMA(3,1,0) x (1,0,0)[12]","sar1",0.329635295176685,0.0708348855716864,4.65357277725941,3.26232384321127e-06
"od_arma21","SARIMA(2,1,1) x (1,0,0)[12]","ar1",1.17264377817197,0.233247318466787,5.02746949409817,4.96994517821742e-07
"od_arma21","SARIMA(2,1,1) x (1,0,0)[12]","ar2",-0.431012119127366,0.17166054647643,-2.5108397239464,0.0120444367903933
"od_arma21","SARIMA(2,1,1) x (1,0,0)[12]","ma1",-0.267254958605949,0.251304134633253,-1.0634721907619,0.287567869959697
"od_arma21","SARIMA(2,1,1) x (1,0,0)[12]","sar1",0.330626895287889,0.0709450014484963,4.66032685231408,3.15707644296826e-06
"od_ar2_sarma11","SARIMA(2,1,0) x (1,0,1)[12]","ar1",0.895161252675731,0.073388237430933,12.1976120971455,3.20073118257255e-34
"od_ar2_sarma11","SARIMA(2,1,0) x (1,0,1)[12]","ar2",-0.222730550483425,0.0741181695167603,-3.00507354587405,0.00265516639064406
"od_ar2_sarma11","SARIMA(2,1,0) x (1,0,1)[12]","sar1",0.979430174746967,0.0261426036672968,37.464905455159,3.43544338102994e-307
"od_ar2_sarma11","SARIMA(2,1,0) x (1,0,1)[12]","sma1",-0.863401426863732,0.0866145248630308,-9.96832145912114,2.09743466962196e-23
