"Date","Point.Forecast","Lower.80","Upper.80","Lower.95","Upper.95"
2016-08-01,110.782,110.04,111.525,109.647,111.917
2016-09-01,110.411,108.821,112.001,107.979,112.843
2016-10-01,109.62,107.191,112.048,105.905,113.334
2016-11-01,109.071,105.878,112.263,104.188,113.953
2016-12-01,108.935,105.065,112.806,103.017,114.854
2017-01-01,109.16,104.688,113.631,102.321,115.998
2017-02-01,109.438,104.429,114.448,101.777,117.1
2017-03-01,109.959,104.461,115.457,101.551,118.367
2017-04-01,110.49,104.543,116.437,101.395,119.585
2017-05-01,111.33,104.965,117.694,101.596,121.063
2017-06-01,112.071,105.315,118.827,101.739,122.403
2017-07-01,112.578,105.452,119.703,101.68,123.475
2017-08-01,112.505,105.002,120.009,101.029,123.981
2017-09-01,112.475,104.588,120.363,100.413,124.538
2017-10-01,111.867,103.599,120.135,99.222,124.512
2017-11-01,111.404,102.764,120.044,98.19,124.618
2017-12-01,111.302,102.301,120.303,97.536,125.068
2018-01-01,111.531,102.182,120.881,97.233,125.83
2018-02-01,111.807,102.121,121.492,96.994,126.62
2018-03-01,112.317,102.306,122.328,97.007,127.627
2018-04-01,112.837,102.511,123.162,97.045,128.629
2018-05-01,113.658,103.026,124.29,97.398,129.918
2018-06-01,114.384,103.455,125.312,97.67,131.098
2018-07-01,114.88,103.662,126.098,97.724,132.036
